Datasheet 3: Test Dataset,,,
,,,
smiles,DD2,,
N[C@@H](CCc1ccccc1)C(=O)N1CCOCCOc2ccccc2Oc2ccc(Cl)cc2NC(=O)C1,0,,
O=C1NC[C@@H](Cc2ccccc2)NC(=O)C2(C/C=C/COc3ccccc31)CCN(C(=O)Cn1cccn1)CC2,0,,
O=C(CN1CC[C@H]2NC(=O)[C@@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3)NCc1cccc(F)c1,0,,
CC(=O)N[C@@H](C(=O)N1CC[C@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@H]2C1)CCOCC3)C(C)C,0,,
CC(=O)N1CCCCCCCN(C(=O)[C@H](N)Cc2cccc(F)c2)Cc2ccccc21,0,,
CCc1noc(C)c1C(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)NC(=O)C1,0,,
CC1CCN(CC(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OC[C@H](C(C)C)NC(=O)C2)CC1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CN2CCC(C(N)=O)CC2)CC(=O)N1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCN2CCCCCC2)CC(=O)N1,0,,
CCN1CCOc2ccccc2C(=O)N[C@@H](CC(=O)N2CCC(O)CC2)C(=O)N[C@H](Cc2ccccc2)C1=O,0,,
COc1cccc(-c2[nH]ncc2CN2CCC3(CCCCc4ccccc4OCC(=O)N(C)C3)CC2)c1,0,,
CC(=O)N[C@@H](CCS(C)=O)C(=O)N1CC[C@@H]2NC(=O)[C@@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@H]2C1)CCOCC3,0,,
COc1ccc(NC(=O)CN2CCC3(C/C=C/C[C@@H]4COCC[C@@H]4NC(=O)[C@H](CC(C)C)NC3=O)CC2)cc1Cl,0,,
CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CC[C@@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3,0,,
CN1CCOc2ccccc2CCCCC2(CCN(C(=O)c3cnc(N4CCOCC4)nc3)CC2)C1=O,0,,
O=C1CN(C(=O)c2cncs2)CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)N1,0,,
Cc1noc(C)c1CCC(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OC[C@H](C(C)C)NC(=O)C1,0,,
Cc1nc2ccc(C(=O)N3CCCCNC(=O)c4cc(Cl)ccc4OC[C@H](C(C)C)NC(=O)C3)cc2[nH]1,0,,
CC(C)C[C@@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc(F)cc2F)CC(=O)N1,0,,
CC[C@@H](C)[C@@H]1NC(=O)[C@H](CC(=O)N(CCO)Cc2ccccc2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
CN1CC2(CCCCc3ccccc3OCC1=O)CCN(Cc1ccc(N3CCOCC3)c(F)c1)CC2,0,,
CC(=O)N[C@@H](CCS(C)=O)C(=O)N1CC[C@@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3,0,,
Cc1ccc(NC(=O)CN2CC[C@H]3NC(=O)[C@@H](Cc4ccccc4)NC(=O)C4(C/C=C/C[C@@H]3C2)CCOCC4)cc1F,0,,
CC(=O)N[C@H](CC(N)=O)C(=O)N1CC[C@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3,0,,
CSCC[C@H](N)C(=O)N1CCC2(CCCCNC(=O)c3ccccc3OCCN(C)C2=O)CC1,0,,
